City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Atambua,ID,-9.1061,124.8925,82.2,55,29,4.34,scattered clouds
291,Camana,PE,-16.6228,-72.7111,65.32,81,59,6.8,broken clouds
292,Bathsheba,BB,13.2167,-59.5167,79.48,78,100,11.74,overcast clouds
293,Caravelas,BR,-17.7125,-39.2481,69.26,82,84,5.75,broken clouds
294,Lompoc,US,34.6391,-120.4579,70.79,72,20,23.0,few clouds
295,Clyde River,CA,70.4692,-68.5914,19.63,86,100,18.41,light snow
296,Two Rivers,US,44.1539,-87.5693,52.38,80,62,1.99,broken clouds
297,Salinopolis,BR,-0.6136,-47.3561,77.94,82,100,7.2,overcast clouds
298,Leningradskiy,RU,69.3833,178.4167,38.23,89,34,3.42,scattered clouds
299,Iringa,TZ,-7.7667,35.7,53.91,83,69,5.44,broken clouds
300,Lensk,RU,60.7253,114.9278,61.34,60,80,3.65,broken clouds
301,Loandjili,CG,-4.7561,11.8578,73.98,80,94,5.03,overcast clouds
302,Karratha,AU,-20.7377,116.8463,73.08,77,100,5.66,overcast clouds
303,Calabazar De Sagua,CU,22.6447,-79.8961,77.86,84,95,12.57,overcast clouds
304,Xuanwu,CN,32.069,118.8138,78.94,45,6,9.86,clear sky
305,Maragogi,BR,-9.0122,-35.2225,76.23,83,43,12.01,scattered clouds
306,Mount Gambier,AU,-37.8333,140.7667,59.14,54,0,5.46,clear sky
307,Port Lincoln,AU,-34.7333,135.8667,64.42,65,31,11.68,scattered clouds
308,Kruisfontein,ZA,-34.0033,24.7314,54.81,77,100,3.96,overcast clouds
309,La Ronge,CA,55.1001,-105.2842,57.24,35,86,13.13,overcast clouds
310,Hamilton,US,39.1834,-84.5333,64.09,69,100,1.01,overcast clouds
311,Norden,DE,53.6,7.2,55.96,85,97,11.3,overcast clouds
312,Morant Bay,JM,17.8815,-76.4093,81.72,85,99,7.58,overcast clouds
313,Borovskoy,KZ,53.8,64.15,43.27,89,100,6.98,light rain
314,Datong,CN,40.0936,113.2914,71.02,35,78,6.62,broken clouds
315,Xingcheng,CN,40.6167,120.7167,72.61,51,30,8.97,scattered clouds
316,Brownwood,US,31.7093,-98.9912,79.92,43,0,9.22,clear sky
317,Xiongyue,CN,40.1774,122.1228,76.6,44,10,12.77,clear sky
318,Ostrovnoy,RU,68.0531,39.5131,30.9,74,78,12.46,broken clouds
319,Morehead,US,37.2711,-87.1764,63.0,71,100,5.75,overcast clouds
320,Gay,RU,51.4666,58.4552,49.41,96,100,14.09,light rain
321,Paamiut,GL,61.994,-49.6678,32.76,98,100,20.74,light snow
322,Devils Lake,US,48.1128,-98.8651,57.31,48,32,3.0,scattered clouds
323,Broome,US,42.2506,-75.833,57.69,90,75,13.8,broken clouds
324,Ylivieska,FI,64.0833,24.55,43.88,63,98,4.54,overcast clouds
325,Statesboro,US,32.4488,-81.7832,71.13,88,75,0.0,light rain
326,Shestakovo,RU,56.4915,103.96,51.91,64,25,6.22,scattered clouds
327,Pacific Grove,US,36.6177,-121.9166,69.87,79,0,5.99,clear sky
328,Taoudenni,ML,22.6783,-3.9836,90.03,9,0,9.82,clear sky
329,Mar Del Plata,AR,-38.0023,-57.5575,54.95,71,0,3.44,clear sky
330,Baisha,CN,26.5222,110.9311,63.7,99,100,1.16,light rain
331,Miyang,CN,24.4042,103.4428,60.93,96,100,2.89,overcast clouds
332,Tchollire,CM,8.4022,14.1698,80.65,60,80,3.85,broken clouds
333,Fortuna,US,40.5982,-124.1573,59.94,85,75,11.5,broken clouds
334,Nyagan,RU,62.1406,65.3936,39.85,87,94,9.84,overcast clouds
335,Shingu,JP,33.7333,135.9833,75.78,52,100,3.29,overcast clouds
336,Kormilovka,RU,55.0026,74.1028,49.96,61,84,15.32,broken clouds
337,Vanimo,PG,-2.6741,141.3028,85.78,66,100,6.24,overcast clouds
338,Rawson,AR,-43.3002,-65.1023,45.9,60,17,14.79,few clouds
339,Ciudad Bolivar,VE,8.1222,-63.5497,77.74,78,100,6.76,overcast clouds
340,Chapleau,CA,47.8405,-83.4034,40.68,70,79,7.11,broken clouds
341,Jieznas,LT,54.6,24.1667,44.19,86,98,3.22,overcast clouds
342,Capitao Poco,BR,-1.7464,-47.0594,72.1,97,100,3.8,heavy intensity rain
343,Arman,RU,59.7,150.1667,41.02,97,100,8.75,light rain
344,Houma,US,29.5958,-90.7195,80.6,81,75,8.05,broken clouds
345,Luderitz,NA,-26.6481,15.1594,60.44,55,23,5.14,few clouds
