City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
601,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
603,Aksu,CN,76.12,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
605,Lucea,JM,81.86,light rain,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
606,Minab,IR,88.75,clear sky,27.1467,57.0801,Bam campground
607,Beidao,CN,67.33,few clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
609,Morgan City,US,80.01,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
610,Bilma,NE,84.43,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
613,Morondava,MG,72.12,clear sky,-20.2833,44.2833,La Case Bambou
615,Ensley,US,74.53,broken clouds,30.5188,-87.2728,Holiday Inn Express & Suites Pensacola W I-10
617,Mabay,PH,82.4,overcast clouds,6.0577,124.4666,Bautista Lodging House
620,Hobyo,SO,80.55,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
621,Caibarien,CU,79.36,overcast clouds,22.5206,-79.4669,La Nena
624,Nago,JP,74.25,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
625,Boa Vista,BR,75.18,light intensity shower rain,2.8197,-60.6733,Aipana Plaza Hotel
626,Magway,MM,85.8,scattered clouds,20.15,94.9167,Htein Htein Thar 2
631,Erenhot,CN,72.59,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
632,Mitsamiouli,KM,78.4,light rain,-11.3847,43.2844,Foyer ADM
634,Puerto Quijarro,BO,68.2,few clouds,-17.7833,-57.7667,Hotel palance
637,Agadir,MA,66.65,scattered clouds,30.4202,-9.5982,Iberostar Founty Beach
638,Port Moresby,PG,84.69,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
640,Chase,CA,73.33,scattered clouds,50.8165,-119.6857,Chase Country Inn Motel
